name,categories,class
Aprikosenlikör,"Zutaten,Fruchtliköre",Veggie
Aprikosenmarmelade,Zutaten,Veggie
Aprikosennektar,"Zutaten,Fruchtgetränke",Veggie
Aprikosensaft,"Zutaten,Fruchtgetränke",Veggie
Aprikosensirup,Zutaten,Veggie
Aquafaba,"Zutaten,Wikipedia",Veggie
Aquavit,"Zutaten,Aromatisierte Trinkbranntweine",Veggie
Ardenner Schinken,"Zutaten,Schinkensorten",Fleisch
Arenenberger,"Zutaten,Schweizer Käse,Weichkäsesorten",Veggie
Arganöl,"Zutaten,Pflanzliche Öle",Veggie
Arkula,"Zutaten,Vorwiegend festkochend",Veggie
Armagnac,"Zutaten,Weindestillate und Weinbrände,Weinanbauregion Südwest",Veggie
Aromatique,"Zutaten,Bitterliköre",Veggie
Arrabbiata,"Zutaten,Gewürze",Veggie
Arrak,"Zutaten,Rum und Arrak",Veggie
Artavaggio,"Zutaten,Lombardischer Käse,Weichkäsesorten",Veggie
Artischocke,"Zutaten,Gemüsesorten",Veggie
Arzúa-Ulloa,"Zutaten,Hartkäsesorten,Weichkäsesorten,Käse aus Galicien",Veggie
Asant,"Zutaten,Küchenkräuter",Veggie
Asia Wok-Gewürzmischung,Zutaten,Veggie
Asiago,"Zutaten,Schnittkäsesorten,Venezianischer und Friauler Käse,Reibekäsesorten",Veggie
Asiasauce,Zutaten,Veggie
Asparges,"Zutaten,Festkochend",Veggie
Aspartam,"Zutaten,Lebensmittelzusatzstoff,Süßungsmittel",Veggie
Aspik,"Zutaten,Fleisch",Fleisch
Atlantik-Lachs,"Zutaten,Empfohlene Fischarten",Fisch
Aubergine,"Zutaten,Fruchtgemüse",Veggie
Augenbohne,"Zutaten,Bohnensorten",Veggie
Ausgebackenes Gebäck,Zutaten,Veggie
Auster,"Zutaten,Muschelarten",Fisch
Austernpilz,"Zutaten,Pilzsorten",Veggie
Austernsauce,"Zutaten,Gewürzsauce",Veggie
Avalin,"Zutaten,Schnittkäsesorten,Käse aus Rhône-Alpes",Veggie
Avesnois à la Trappiste,"Zutaten,Weichkäsesorten,Belgischer Käse",Veggie
Avocado,"Zutaten,Beerenfrüchtesorten,Fruchtgemüse",Veggie
Ayranbrot,"Zutaten,Brotsorten",Veggie
Babaco,"Zutaten,Frischfrüchte",Veggie
Babybel,"Zutaten,Schnittkäsesorten,Käse der Franche-Comté",Veggie
Baccara,"Zutaten,Festkochend",Veggie
Baci Perugina,Zutaten,Veggie
Backaroma,"Lebensmittelzusatzstoff,Zutaten",Veggie
Backerbsen,Zutaten,Veggie
Backpulver,"Zutaten,Backtriebmittel",Veggie
Baguette,Zutaten,Veggie
Bagung,"Zutaten,Aromazutaten",Veggie
Baileys,"Zutaten,Emulsionsliköre",Veggie
Baiser,Zutaten,Veggie
Bałtycki,"Zutaten,Schnittkäsesorten,Polnischer Käse",Veggie
Bamberger Hörnchen,"Zutaten,Festkochend",Veggie
Bambusblatt,Zutaten,Veggie
Bambussprosse,"Zutaten,Sprossenarten",Veggie
