name,categories,class
Clochette,"Zutaten,Käse aus Westfrankreich,Weichkäsesorten,Ziegenkäsesorten,Käse aus Burgund",Veggie
Cocktailkirsche,Zutaten,Veggie
Cœur Cendré,"Zutaten,Weichkäsesorten,Ziegenkäsesorten,Käse aus Westfrankreich",Veggie
Cognac,"Zutaten,Cocktails mit Weinbrand,Weindestillate und Weinbrände",Veggie
Cola,Zutaten,Veggie
Colette,"Zutaten,Vorwiegend festkochend",Veggie
Comté,"Zutaten,Hartkäsesorten,Schnittkäsesorten,Käse der Franche-Comté",Veggie
Conchiglie,Zutaten,Veggie
Conference,"Zutaten,Birnensorte",Veggie
Conny,"Zutaten,Vorwiegend festkochend",Veggie
Convenience Food,Zutaten,Veggie
Coppa,"Zutaten,Schweinefleischteile",Fleisch
Corallini,"Zutaten,Nudelsorten",Veggie
Corned Beef,"Zutaten,Fleischerzeugnisse,Wikipedia",Fleisch
Cornflake,"Zutaten,Vegetarische Hauptspeise",Veggie
Cornichon,Zutaten,Veggie
Corsendonk,"Zutaten,Belgischer Käse,Schnittkäsesorten",Veggie
Cotechino,"Zutaten,Rohwurstsorten",Fleisch
Coulommiers,"Zutaten,Weichkäsesorten,Ziegenkäsesorten,Käse aus der Île-de-France,Käse aus Nordostfrankreich,Weißschimmelkäse",Veggie
Couscous,Zutaten,Veggie
Cox Orange,"Zutaten,Apfelsorten",Veggie
Cranberry,"Zutaten,Beerenfrüchtesorten",Veggie
Cranberry-Fruchtsaftgetränk,"Zutaten,Fruchtgetränke",Veggie
Cranberry-Kirsch-Fruchtsaftgetränk,"Zutaten,Fruchtgetränke",Veggie
Cranberry-Kirsch-Mehrfruchtsaftgetränk,"Zutaten,Fruchtgetränke",Veggie
Cranberrynektar,Zutaten,Veggie
Cranberrysaft,"Zutaten,Fruchtgetränke",Veggie
Cranberrysirup,Zutaten,Veggie
Crème de Bananas,Zutaten,Veggie
Crème de Bananes,"Zutaten,Fruchtliköre",Veggie
Crème de Cacao,"Zutaten,Kakao-, Kaffee-, Tee- und Kolaliköre,Emulsionsliköre",Veggie
Crème de Cassis,Zutaten,Veggie
Crème de Menthe,"Zutaten,Gewürzliköre",Veggie
Crème de Mure,Zutaten,Veggie
Crème de Violette,Zutaten,Veggie
Crème double,Zutaten,Veggie
Crème fraîche,Zutaten,Veggie
Cresti di gallo,"Zutaten,Nudelsorten",Veggie
Cripps Pink,"Zutaten,Apfelsorten",Veggie
Croissant,Zutaten,Veggie
Crottin de Chavignol,"Zutaten,Weichkäsesorten,Ziegenkäsesorten,Käse aus Zentralfrankreich",Veggie
Croûton,Zutaten,Veggie
Croûtons,Zutaten,Veggie
Crowdie,"Zutaten,Irische Küche,Frischkäsesorten",Veggie
Crutin al Tartufo Piemontese,"Zutaten,Piemonteser Käse,Weichkäsesorten,Schafskäsesorten",Veggie
Cuajada,"Zutaten,Käse aus dem Baskenland,Schafskäsesorten",Veggie
Cuoretti,Zutaten,Veggie
Curaçao,"Zutaten,Fruchtliköre",Veggie
Curaçao Orange,"Zutaten,Fruchtliköre,Wikipedia",Veggie
Curryblätter,"Zutaten,Küchenkräuter",Veggie
Curryketchup,Zutaten,Veggie
Currykraut,"Zutaten,Küchenkräuter",Veggie
Currypulver,Zutaten,Veggie
Currywurst,"Zutaten,Brühwurstsorten",Fleisch
Currywurst auf Art der Volkswagen AG,"Zutaten,Brühwurstsorten",Fleisch
Cynar,"Zutaten,Bitterliköre",Veggie
Dachsteiner,"Zutaten,Österreichischer Käse,Schnittkäsesorten,Rotschmierkäsesorten,Steirischer Käse",Veggie
Dalmatinischer Gewürzsalbei,"Zutaten,Salbei",Veggie
Damhirsch,"Zutaten,Wildarten",Fleisch
Dampfnudel,Zutaten,Veggie
Danablu,"Zutaten,Dänischer Käse,Weichkäsesorten,Blauschimmelkäsesorten",Veggie
Danbo,"Zutaten,Dänischer Käse,Weichkäsesorten",Veggie
Dashi,Zutaten,Veggie
Dattel,"Zutaten,Steinobst",Veggie
Debrecziner,"Zutaten,Brühwurstsorten",Fleisch
Delbarestivale,"Zutaten,Apfelsorten",Veggie
Delicata-Kürbis,Zutaten,Veggie
Désirée,"Zutaten,Vorwiegend festkochend",Veggie
Dettelbacher Muskatzinen,Zutaten,Veggie
Deutsche Nationalbergamotte,"Zutaten,Birnensorte",Veggie
Diavolini,"Zutaten,Nudelsorten",Veggie
Dicke Rippe,"Zutaten,Schweinefleischteile",Fleisch
Dicker Spitz,"Zutaten,Rindfleischteile",Fleisch
Dickmilch,"Zutaten,Milchprodukte",Veggie
Dill,"Zutaten,Küchenkräuter",Veggie
Dimljeni Sir,"Zutaten,Serbischer Käse,Schnittkäsesorten",Veggie
Dinkel,"Zutaten,Getreidesorten",Veggie
Dinkelflake,Zutaten,Veggie
Dinkelflocke,Zutaten,Veggie
Dinkelgrieß,Zutaten,Veggie
Dinkelmehl,Zutaten,Veggie
Dinkelpops,Zutaten,Veggie
Distelöl,"Zutaten,Pflanzliche Öle",Veggie
Dita lychee,Zutaten,Veggie
Ditali,"Zutaten,Nudelsorten",Veggie
Ditalini,"Zutaten,Nudelsorten",Veggie
Ditaloni,"Zutaten,Nudelsorten",Veggie
Ditta,"Zutaten,Festkochend",Veggie
Djansan,Zutaten,Veggie
Doenjang,Zutaten,Veggie
Dogan-Yufkateig,Zutaten,Veggie
Dolce Bianca,"Zutaten,Italienischer Käse,Weichkäsesorten,Blauschimmelkäsesorten",Veggie
Dolomiti,"Zutaten,Südtiroler Käse,Venezianischer und Friauler Käse",Veggie
Dominostein,Zutaten,Veggie
Dorade,"Zutaten,Bedrohte Fischarten",Fisch
Dornhai,"Zutaten,Bedrohte Fischarten",Fisch
Double Gloucester,"Zutaten,Käse aus Großbritannien,Schnittkäsesorten",Veggie
Drachenfrucht,"Zutaten,Beerenfrüchtesorten",Veggie
Drambuie,"Zutaten,Liköre",Veggie
Dresdner Christstollen,Zutaten,Veggie
Dubonnet,Zutaten,Veggie
Dünnes Kügerl,"Zutaten,Fleisch",Fleisch
Duftendes Mariengras,"Zutaten,Küchenkräuter",Veggie
Dulce de Leche (Manjar),"Zutaten,Wikipedia",Veggie
Dunkelstreifiger Scheidling,"Zutaten,Pilzsorten",Veggie
Dünnung,"Zutaten,Rindfleischteile,Schweinefleischteile,Lammfleischteile,Geflügelfleischteile,Kalbfleischteile",Fleisch
Dünnung vom Lamm,"Zutaten,Lammfleischteile",Fleisch
Dunst,Zutaten,Veggie
Duplo,Zutaten,Veggie
Eberesche,Zutaten,Veggie
Eberraute,"Zutaten,Küchenkräuter",Veggie
Echter Lavendel,"Zutaten,Küchenkräuter",Veggie
Edamer,"Zutaten,Niederländischer Käse,Reibekäsesorten,Schnittkäsesorten",Veggie
Edamski,"Zutaten,Schnittkäsesorten,Polnischer Käse",Veggie
Edel-Reizker,"Zutaten,Pilzsorten",Veggie
Edelkirsch Cream,Zutaten,Veggie
Ehrenpreis,Zutaten,Veggie
Ei,"Zutaten,Tierische Produkte",Veggie
Ei-Ersatz,Zutaten,Veggie
Eichblattsalat,"Zutaten,Salatsorten",Veggie
Eichel,"Zutaten,Gewürze",Veggie
Eichsfelder Feldkieker,"Zutaten,Rohwurstsorten",Fleisch
Eier-Schnittnudel,"Zutaten,Nudelsorten",Veggie
Eierlikör,"Zutaten,Emulsionsliköre",Veggie
Eiernudel,Zutaten,Veggie
Eierplätzchen,Zutaten,Veggie
Einkorn,"Zutaten,Getreidesorten",Veggie
Einmachhilfe,Zutaten,Veggie
Eisbergsalat,"Zutaten,Salatsorten",Veggie
Eispraline,Zutaten,Veggie
Eiswaffel,Zutaten,Veggie
Eiswürfel,Zutaten,Veggie
Ekmek,Zutaten,Veggie
Eliche,Zutaten,Veggie
Eliche Tricolore,"Zutaten,Nudelsorten",Veggie
Elsässer Winzerkäse,"Zutaten,Rotschmierkäsesorten,Weichkäsesorten,Käse aus Nordostfrankreich",Veggie
Elstar,"Zutaten,Apfelsorten",Veggie
Emmentaler,"Zutaten,Schweizer Käse,Schnittkäsesorten,Reibekäsesorten,Hartkäsesorten",Veggie
Emmer,"Zutaten,Getreidesorten",Veggie
Endivie,"Zutaten,Salatsorten",Veggie
Engelwurz,"Zutaten,Küchenkräuter",Veggie
Ente,"Zutaten,Fleisch",Fleisch
Entenbrust,"Zutaten,Geflügelfleischteile",Fleisch
Entenfett,"Zutaten,Fleisch",Fleisch
Entenkeule,"Zutaten,Fleisch",Fleisch
Entenlebermousse,"Zutaten,Fleischerzeugnisse",Fleisch
Entenmuschel,"Zutaten,Meeresfrüchte-Arten",Fisch
Entrecôte vom Rind,"Zutaten,Rindfleischteile",Fleisch
Époisses de Bourgogne,"Zutaten,Weichkäsesorten,Käse aus Burgund,Salzlakenkäse",Veggie
Erbse,"Zutaten,Erbsensorten,Fruchtgemüse",Veggie
Erbswurst,Zutaten,Veggie
Erdbeer-Konfitüre,"Zutaten,Fertigmarmeladen",Veggie
Erdbeere,Zutaten,Veggie
Erdbeernektar,"Zutaten,Fruchtgetränke",Veggie
Erdbeersaft,"Zutaten,Fruchtgetränke",Veggie
Erdbeersirup,Zutaten,Veggie
Erdmandel,Zutaten,Veggie
Erdnuss,"Zutaten,Hülsenfruchtsorten",Veggie
Erdnuss-Flips,Zutaten,Veggie
Erdnussbutter,Zutaten,Veggie
Erdnussöl,"Zutaten,Pflanzliche Öle",Veggie
Espresso,Zutaten,Veggie
Esrom,"Zutaten,Dänischer Käse,Schnittkäsesorten",Veggie
Essig,"Zutaten,Aromazutaten",Veggie
Essigessenz,"Zutaten,Aromazutaten",Veggie
Essigmeerrettich,"Zutaten,Gewürze",Veggie
Estragon,"Zutaten,Küchenkräuter",Veggie
Ethanol,Zutaten,Veggie
Etorki,"Zutaten,Käse aus dem Baskenland,Salzlakenkäse",Veggie
Euter,"Zutaten,Fleisch",Fleisch
Explorateur,"Zutaten,Frischkäsesorten,Käse aus Zentralfrankreich",Veggie
Extrawurst,"Zutaten,Brühwurstsorten",Fleisch
Fadennudel,"Zutaten,Nudelsorten",Veggie
Fanta,Zutaten,Veggie
Färberdistel,"Zutaten,Küchenkräuter,Gewürze",Veggie
Farfalle,"Zutaten,Nudelsorten",Veggie
Fasan,"Zutaten,Wildarten",Fleisch
Fassbrause,Zutaten,Veggie
Fedelini tagliati,"Zutaten,Nudelsorten",Veggie
Fehlrippe,"Zutaten,Rindfleischteile",Fleisch
Feige,"Zutaten,Steinobst",Veggie
Feigenminze,"Zutaten,Minzen",Veggie
Feigensaft,"Zutaten,Fruchtgetränke",Veggie
Feijoa,Zutaten,Veggie
Feiner Maisgrieß,Zutaten,Veggie
Feiner Tiroler,"Zutaten,Österreichischer Käse,Tiroler Käse",Veggie
Felche,"Zutaten,Fischarten",Fisch
Feldsalat,"Zutaten,Salatsorten",Veggie
Fenchel,"Zutaten,Küchenkräuter",Veggie
Fenchelgrün,"Zutaten,Küchenkräuter",Veggie
Fenchelsamen,"Zutaten,Gewürze",Veggie
Fernet Branca,"Zutaten,Bitterliköre,Cocktails mit Fernet Branca",Veggie
Festonati,"Zutaten,Nudelsorten",Veggie
Feta,"Zutaten,Griechischer Käse,Salzlakenkäse",Veggie
Wissen:Fett absolut,Zutaten,Veggie
Wissen:Fett in der Trockenmasse,Zutaten,Veggie
Fettes Meisel,"Zutaten,Rindfleischteile",Fleisch
Fettfisch,"Fischarten,Zutaten",Fisch
Fettuccelle,"Zutaten,Nudelsorten",Veggie
Fettuccia,"Zutaten,Nudelsorten",Veggie
Fettuccine,"Zutaten,Bandnudelsorten",Veggie
Feuerbohne,"Zutaten,Bohnensorten",Veggie
Ficken-Likör,"Zutaten,Fruchtliköre",Veggie
Filea,"Zutaten,Festkochend",Veggie
Filet,"Zutaten,Fleisch",Fleisch
Filet mignon,"Zutaten,Rindfleischteile",Fleisch
Filetta,"Zutaten,Weichkäsesorten,Schafskäsesorten,Käse aus Korsika",Veggie
Filini,"Zutaten,Nudelsorten",Veggie
Filoteig,Zutaten,Veggie
Finka,"Zutaten,Mehligkochend",Veggie
Fior di Monte,"Zutaten,Südtiroler Käse",Veggie
Fiore sardo,"Zutaten,Sardischer Käse,Schafskäsesorten,Schnittkäsesorten,Reibekäsesorten",Veggie
Fisch-Gewürzmischung,"Zutaten,Gewürze",Veggie
Fischbacher Grubenkraut,Zutaten,Veggie
Fischgewürz,,Veggie
Fischkarkassen,"Zutaten,Fisch",Fisch
Fischsauce,"Zutaten,Aromazutaten,Fisch",Fisch
Fischstäbchen,"Zutaten,Fisch",Fisch
Fischwürze,Zutaten,Veggie
Fish and Chips,"Zutaten,Fisch",Fisch
Flammkuchen,Zutaten,Veggie
Fleckerl,"Zutaten,Wikipedia",Veggie
Fleischwurst,"Zutaten,Brühwurstsorten",Fleisch
Flomen,Zutaten,Veggie
Flötenbrot,Zutaten,Veggie
Flugente,"Zutaten,Wildarten",Fleisch
Flunder,"Zutaten,Fischarten",Fisch
Flussbarsch,"Zutaten,Bedrohte Fischarten",Fisch
Flüssig gefüllte Rumkugeln,Zutaten,Veggie
Flusskrebs,"Zutaten,Krustentiere",Fisch
Fol Epi,"Zutaten,Käse aus Westfrankreich,Schnittkäsesorten",Veggie
Fond,"Zutaten,Fertige Gewürzsoßen",Veggie
Fondant,Zutaten,Veggie
Fondor,"Zutaten,Gewürze",Veggie
Fontainebleau,"Zutaten,Weichkäsesorten,Käse aus der Île-de-France",Veggie
Fontal,"Zutaten,Käse aus dem Aostatal,Schnittkäsesorten,Südtiroler Käse",Veggie
Fontina,"Zutaten,Schnittkäsesorten,Käse aus dem Aostatal,Südtiroler Käse",Veggie
Forelle,"Zutaten,Fischarten",Fisch
Forellenbirne,"Zutaten,Birnensorte",Veggie
Formaggio di Fossa,"Zutaten,Käse aus Emilia-Romagna,Schafskäsesorten,Schnittkäsesorten",Veggie
Foudjou,"Zutaten,Käse aus Rhône-Alpes,Weichkäsesorten",Veggie
Fougasse,Zutaten,Veggie
Fougeru,"Zutaten,Weichkäsesorten,Käse aus der Île-de-France",Veggie
Fourme d’Ambert,"Zutaten,Blauschimmelkäsesorten,Weichkäsesorten,Käse aus Mittelfrankreich",Veggie
Framboise,Zutaten,Veggie
Frankfurter Rindswurst,"Zutaten,Brühwurstsorten",Fleisch
Frankfurter Würstchen,"Zutaten,Brühwurstsorten",Fleisch
Fränkische Bratwurst,"Zutaten,Bratwurst",Fleisch
Frantoio,"Zutaten,Steinobst",Veggie
Frauenmantel,Zutaten,Veggie
Freya,"Zutaten,Mehligkochend",Veggie
Frietsaus,Zutaten,Veggie
Frischkäsezubereitung,Zutaten,Veggie
Frisée,"Zutaten,Salatsorten",Veggie
Froschschenkel,"Zutaten,Fleisch",Fleisch
Fruchtaufstrich,Zutaten,Veggie
Fruchtcocktail,Zutaten,Veggie
Früchtespießchen,Zutaten,Veggie
Fruchtgelee,Zutaten,Veggie
Fruchtminze,"Zutaten,Minzen",Veggie
Fruchtnektar,"Zutaten,Fruchtgetränke",Veggie
Fruchtsaft,"Zutaten,Fruchtgetränke",Veggie
Fruchtsaftgetränk,"Zutaten,Fruchtgetränke",Veggie
Fruchtsirup,,Veggie
Frühlingsrollenteig,Zutaten,Veggie
Frühstücksfleisch,"Zutaten,Wikipedia,Schweinefleischteile",Fleisch
Frühstücksspeck,"Zutaten,Fleisch",Fleisch
Fruktosesirup,"Zutaten,Süßungsmittel",Veggie
Fünfgewürz,Zutaten,Veggie
Funghini,"Zutaten,Nudelsorten",Veggie
Fusilli,"Zutaten,Nudelsorten",Veggie
Futterrübe,"Zutaten,Rübensorten",Veggie
Gabelspaghetti,Zutaten,Veggie
Gala (Apfel),"Zutaten,Apfelsorten",Veggie
Gala (Kartoffel),"Zutaten,Vorwiegend festkochend",Veggie
Galgant,"Zutaten,Gewürze",Veggie
Galiamelone,Zutaten,Veggie
Galletti,"Zutaten,Nudelsorten",Veggie
Galliano,Zutaten,Veggie
Gämse,"Zutaten,Wildarten",Fleisch
Gämseschlögel,"Zutaten,Wildfleischteile",Fleisch
Gänseblümchen,Zutaten,Veggie
Gänsebrust,Zutaten,Veggie
Gänsefett,Zutaten,Veggie
Gänsekeule,Zutaten,Veggie
Gänselebermousse,Zutaten,Veggie
Gaperon,"Zutaten,Weichkäsesorten,Käse aus Mittelfrankreich",Veggie
Garam Masala,Zutaten,Veggie
Garganelli,"Zutaten,Nudelsorten",Veggie
Gari,Zutaten,Veggie
Garnele,"Zutaten,Krustentiere",Fisch
Garnelenpulver,"Zutaten,Meeresfrüchte",Fisch
Gartenbohne,"Zutaten,Bohnensorten",Veggie
Gebäck,Zutaten,Veggie
Gebrannte Mandel,Zutaten,Veggie
Geflügelbratwurst,"Zutaten,Brühwurstsorten",Fleisch
Geflügelkarkassen,"Zutaten,Fleisch",Fleisch
Geheimratskäse,"Zutaten,Deutscher Käse,Schnittkäsesorten",Veggie
Gelatine,"Zutaten,Lebensmittelzusatzstoff,Fleisch",Fleisch
Gelbwurst,"Zutaten,Brühwurstsorten",Fleisch
Geliermittel,,Veggie
Gellerts Butterbirne,"Zutaten,Birnensorte",Veggie
Gemeiner Bocksdorn,"Zutaten,Küchenkräuter",Veggie
Gemelli,"Zutaten,Nudelsorten",Veggie
Gemüsesaft,Zutaten,Veggie
Gemüsezwiebel,"Zutaten,Gewürze",Veggie
Genever,"Zutaten,Kornbranntweine und andere Getreidebranntweine",Veggie
Getrocknetes Nudel-Fertiggericht,Zutaten,Veggie
Gewürzgurke,"Zutaten,Gemüsesorten",Veggie
Gewürzmischung für Hähnchen,,Veggie
Gewürznelke,"Zutaten,Gewürze",Veggie
Gewürzsalz,Aromazutaten,Veggie
Gewürzthymian,"Zutaten,Thymiane",Veggie
Ghee,Zutaten,Veggie
Ghiottole,"Zutaten,Nudelsorten",Veggie
Giersch,"Zutaten,Küchenkräuter",Veggie
Gin,"Zutaten,Aromatisierte Trinkbranntweine",Veggie
Ginger Ale,Zutaten,Veggie
Ginger Beer,Zutaten,Veggie
Ginger Wine,Zutaten,Veggie
Girandole,"Zutaten,Nudelsorten",Veggie
Gjetost,"Zutaten,Norwegischer Käse,Schnittkäsesorten",Veggie
Glasnudel,"Zutaten,Asiatische Nudelsorten",Veggie
Glattbutt,"Zutaten,Fischarten",Fisch
Gloss,Zutaten,Veggie
Gloster,"Zutaten,Apfelsorten",Veggie
Glukosesirup,Zutaten,Veggie
Glycerin,"Zutaten,Süßungsmittel,Lebensmittelzusatzstoff",Veggie
Gmundner Berg,"Zutaten,Österreichischer Käse,Schnittkäsesorten,Rotschmierkäsesorten,Oberösterreichischer Käse",Veggie
Gnocchetti sardi,"Zutaten,Nudelsorten",Veggie
Gnocchi,"Zutaten,Nudelsorten",Veggie
Gnocchi di Pasta,"Zutaten,Nudelsorten",Veggie
Gochujang,Zutaten,Veggie
Gofio,Zutaten,Veggie
Gold-Röhrling,"Zutaten,Pilzsorten",Veggie
Golden Delicious,"Zutaten,Apfelsorten",Veggie
Goldsegen,Zutaten,Veggie
Golka,"Zutaten,Hartkäsesorten,Polnischer Käse",Veggie
Gorgonzola,"Zutaten,Piemonteser Käse,Blauschimmelkäsesorten,Schnittkäsesorten,Weichkäsesorten",Veggie
Gorgonzola-Kürbis,"Zutaten,Kürbissorten",Veggie
Götterspeise,Zutaten,Veggie
Gouda,"Zutaten,Niederländischer Käse,Reibekäsesorten,Schnittkäsesorten,Hartkäsesorten",Veggie
Gräfin von Paris,"Zutaten,Birnensorte",Veggie
Grammeln,"Zutaten,Fleisch",Fleisch
Grana Padano,"Zutaten,Piemonteser Käse,Hartkäsesorten,Schnittkäsesorten,Reibekäsesorten,Venezianischer und Friauler Käse,Südtiroler Käse,Käse aus Emilia-Romagna",Veggie
Granatapfel,"Zutaten,Beerenfrüchtesorten",Veggie
Granatapfelnektar,"Zutaten,Fruchtgetränke",Veggie
Granatapfelsaft,"Zutaten,Fruchtgetränke",Veggie
Grand Marnier,"Zutaten,Fruchtliköre",Veggie
Grande vecchio di Montefollonico,"Zutaten,Toskanischer Käse,Schafskäsesorten",Veggie
Granformaggi,"Zutaten,Lombardischer Käse,Hartkäsesorten,Reibekäsesorten",Veggie
Granny Smith,"Zutaten,Apfelsorten",Veggie
Granny Smith Apfel,Zutaten,Veggie
Granola,"Zutaten,Vorwiegend festkochend",Veggie
Grapefruit,"Zutaten,Zitrusfrüchte",Veggie
Grapefruitnektar,"Zutaten,Fruchtgetränke",Veggie
Grapefruitsaft,"Zutaten,Fruchtgetränke",Veggie
Grapefruitsirup,Zutaten,Veggie
Grappa,Zutaten,Veggie
Gratte Paille,"Zutaten,Weichkäsesorten,Weißschimmelkäse,Käse aus der Île-de-France",Veggie
Graubrot,Zutaten,Veggie
Graumohn,Zutaten,Veggie
Graupe,"Zutaten,Getreidesorten",Veggie
Graved Lachs-Sauce,Zutaten,Veggie
Graviera,"Zutaten,Griechischer Käse,Hartkäsesorten,Schafskäsesorten,Ziegenkäsesorten",Veggie
Grenadine,Zutaten,Veggie
Greußener Salami,"Zutaten,Fleisch",Fleisch
Griebenschmalz,"Zutaten,Fleisch",Fleisch
Grießbrei,Zutaten,Veggie
Grießpudding,Zutaten,Veggie
Grilletta,"Zutaten,Fleisch",Fleisch
Grimbergen Abdijkaas,"Zutaten,Belgischer Käse,Schnittkäsesorten",Veggie
Grüne-Banane-Likör,"Zutaten,Fruchtliköre",Veggie
Grüner Speck,Zutaten,Veggie
Grünkern,"Zutaten,Getreidesorten",Veggie
Grünkernschrot,"Zutaten,Getreidesorten",Veggie
Grünkohl,"Zutaten,Kohlsorten",Veggie
Grützwurst,"Zutaten,Kochwurstsorten,Streichwurstsorten",Fleisch
Gryficki,"Zutaten,Schnittkäsesorten,Polnischer Käse",Veggie
Guave,Zutaten,Veggie
Guave-Fruchtsaftgetränk,"Zutaten,Fruchtgetränke",Veggie
Guavennektar,"Zutaten,Fruchtgetränke",Veggie
Guavensaft,"Zutaten,Fruchtgetränke",Veggie
Gulasch,"Zutaten,Fleisch",Fleisch
Gulaschcreme,Zutaten,Veggie
Güllaç,Zutaten,Veggie
Gummibär,Zutaten,Veggie
Gundelrebe,"Zutaten,Küchenkräuter",Veggie
Gurke,"Zutaten,Fruchtgemüse",Veggie
Gurkenwasser,Zutaten,Veggie
Gute Luise,"Zutaten,Birnensorte",Veggie
Guter Heinrich,"Zutaten,Küchenkräuter",Veggie
Gyros-Kraut,"Zutaten,Küchenkräuter",Veggie
Habanero,"Zutaten,Chilisorten",Veggie
Hafer,"Zutaten,Getreidesorten",Veggie
Haferflocken,Zutaten,Veggie
Hafergrütze,Zutaten,Veggie
Haferkleie,Zutaten,Veggie
Hafermehl,Zutaten,Veggie
Haferschrot,Zutaten,Veggie
Hagebutte,"Zutaten,Beerenfrüchtesorten",Veggie
Hagebuttennektar,"Zutaten,Fruchtgetränke",Veggie
Hagebuttensaft,"Zutaten,Fruchtgetränke",Veggie
Hähnchen,"Zutaten,Geflügelfleischteile",Fleisch
Hähnchenbrust,"Zutaten,Geflügelfleischteile",Fleisch
Hähnchenflügel,"Zutaten,Geflügelfleischteile",Fleisch
Hähnchenschenkel,"Zutaten,Geflügelfleischteile",Fleisch
Hallorenkugel,Zutaten,Veggie
Halloumi,"Zutaten,Griechischer Käse,Schnittkäsesorten",Veggie
Hamburger-Sauce,Zutaten,Veggie
Handkäse,"Zutaten,Deutscher Käse,Sauermilchkäse,Rotschmierkäsesorten",Veggie
Hanfnuss,Zutaten,Veggie
Harissa,"Zutaten,Gewürze",Veggie
Harzer Käse,"Zutaten,Deutscher Käse,Rotschmierkäsesorten,Sauermilchkäse",Veggie
Haschee,Zutaten,Veggie
Haselnuss,Zutaten,Veggie
Haselnussbrotaufstrich,Zutaten,Veggie
Haselnusskrokant,Zutaten,Veggie
Haselnussöl,"Zutaten,Pflanzliche Öle",Veggie
Haselnusssirup,Zutaten,Veggie
Hauskyjza,"Zutaten,Polnischer Käse",Veggie
Havarti,"Zutaten,Dänischer Käse,Schnittkäsesorten",Veggie
Hecht,"Zutaten,Fischarten",Fisch
Hefe,"Zutaten,Backtriebmittel",Veggie
Hefeextrakt,Zutaten,Veggie
Heidelbeere,Zutaten,Veggie
Heidelbeere-Brotaufstrich,Zutaten,Veggie
Heidelbeernektar,"Zutaten,Fruchtgetränke",Veggie
Heidelbeersaft,"Zutaten,Fruchtgetränke",Veggie
Heilbutt,"Zutaten,Bedrohte Fischarten",Fisch
Helles Gianduja,Zutaten,Veggie
Hemingway-Minze,"Zutaten,Minzen",Veggie
Hering,"Zutaten,Empfohlene Fischarten",Fisch
Heringsfilet in Tomatensauce,"Zutaten,Fisch",Fisch
Herrgårdost,"Zutaten,Schwedischer Käse,Schnittkäsesorten",Veggie
Herve,"Zutaten,Belgischer Käse,Weichkäsesorten,Salzlakenkäse",Veggie
Herzmuschel,"Zutaten,Muschelarten",Fisch
Herzoginkartoffel,Zutaten,Veggie
Hesperidenessig,Zutaten,Veggie
Hesse,Zutaten,Veggie
Heumilchkäse,"Zutaten,Österreichischer Käse,Südtiroler Käse,Schnittkäsesorten",Veggie
Hibiskus,"Zutaten,Küchenkräuter",Veggie
Hierbas,Zutaten,Veggie
Highland Burgundi Red,Zutaten,Veggie
Himbeer-Konfitüre,"Zutaten,Fertigmarmeladen",Veggie
Himbeer-Wodka,Zutaten,Veggie
Himbeerbrause,Zutaten,Veggie
Himbeere,Zutaten,Veggie
Himbeeressig,Zutaten,Veggie
Himbeergeist,"Zutaten,Obstbranntweine",Veggie
Himbeernektar,"Zutaten,Fruchtgetränke",Veggie
Himbeersaft,"Zutaten,Fruchtgetränke",Veggie
Himbeersirup,Zutaten,Veggie
Hinterer Wadschinken,"Zutaten,Rindfleischteile",Fleisch
Hirsch,"Zutaten,Wildarten",Fleisch
Hirschfilet,"Zutaten,Wildfleischteile",Fleisch
Hirschgulaschfleisch,"Zutaten,Wildfleischteile",Fleisch
Hirschhals,"Zutaten,Wildfleischteile",Fleisch
Hirschhornsalz,"Zutaten,Backtriebmittel",Veggie
Hirschrücken,"Zutaten,Wildfleischteile",Fleisch
Hirschschnitzel,"Zutaten,Wildfleischteile",Fleisch
Hirschschulter,"Zutaten,Wildfleischteile",Fleisch
Hirse,"Zutaten,Getreidesorten",Veggie
Hirseflocke,Zutaten,Veggie
Hochrippe,"Zutaten,Rindfleischteile",Fleisch
Hochzeitsnudel,Zutaten,Veggie
Höhlenkäse Classic,"Zutaten,Dänischer Käse",Veggie
Hohrücken,"Zutaten,Fleisch",Fleisch
Hoisin-Sauce,"Zutaten,Aromazutaten",Veggie
Hokkaido-Kürbis,"Zutaten,Kürbissorten",Veggie
Hokkien-Nudel,"Zutaten,Asiatische Nudelsorten",Veggie
Holländische Sauce,Zutaten,Veggie
Holunderbeere,"Zutaten,Steinobst",Veggie
Holunderblüte,"Zutaten,Küchenkräuter",Veggie
Holundernektar,"Zutaten,Fruchtgetränke",Veggie
Holundersaft,"Zutaten,Fruchtgetränke",Veggie
Honig,"Zutaten,Süßungsmittel",Veggie
Honig-Senf-Sauce,Zutaten,Veggie
Honigkuchen,Zutaten,Veggie
Honigmelone,Zutaten,Veggie
Honigmelonennektar,"Zutaten,Fruchtgetränke",Veggie
Honigmelonensaft,"Zutaten,Fruchtgetränke",Veggie
Honigsenf,Zutaten,Veggie
Hopfen,"Zutaten,Küchenkräuter,Gewürze,Gemüsesorten",Veggie
Hörnchennudel,"Zutaten,Nudelsorten",Veggie
Hot Chili Sauce,Zutaten,Veggie
Hot Dog-Brötchen,Zutaten,Veggie
Huchen,"Zutaten,Bedrohte Fischarten",Fisch
Hüferscherzel,"Zutaten,Rindfleischteile",Fleisch
Hüferschwanzel,"Zutaten,Fleisch",Fleisch
Huft,"Zutaten,Rindfleischteile",Fleisch
